wavenumber1,beta_sheet1,beta_turn,alpha_helix,beta_sheet,side_chain,wavenumber2,globulins
1612.873529,2.13274E-63,2.17612E-18,1.69466E-15,1.44073E-08,7.49139E-06,,
1612.97391,3.01246E-63,2.38653E-18,1.88743E-15,1.54187E-08,7.58844E-06,,
1613.074291,4.25314E-63,2.61692E-18,2.10163E-15,1.64965E-08,7.684E-06,,
1613.174673,6.0021E-63,2.86913E-18,2.33957E-15,1.76445E-08,7.77796E-06,,
1613.275054,8.46647E-63,3.1452E-18,2.60383E-15,1.88669E-08,7.87025E-06,,
1613.375435,1.19373E-62,3.44735E-18,2.89725E-15,2.01683E-08,7.96078E-06,,
1613.475817,1.68235E-62,3.77798E-18,3.22295E-15,2.15533E-08,8.04945E-06,,
1613.576198,2.3699E-62,4.13973E-18,3.58442E-15,2.30268E-08,8.1362E-06,,
1613.67658,3.33696E-62,4.53548E-18,3.98547E-15,2.4594E-08,8.22094E-06,,
1613.776961,4.69652E-62,4.96835E-18,4.43033E-15,2.62603E-08,8.30357E-06,,
1613.877342,6.60703E-62,5.44175E-18,4.92366E-15,2.80315E-08,8.38403E-06,,
1613.977724,9.29056E-62,5.95941E-18,5.47062E-15,2.99136E-08,8.46223E-06,,
1614.078105,1.30582E-61,6.52538E-18,6.07688E-15,3.19129E-08,8.5381E-06,,
1614.127,1.54108E-61,6.81987E-18,6.39553E-15,3.29312E-08,8.57418E-06,,
1614.178486,1.83455E-61,7.14409E-18,6.74872E-15,3.40361E-08,8.61155E-06,,
1614.278868,2.5762E-61,7.82034E-18,7.49303E-15,3.62901E-08,8.68253E-06,,
1614.379249,3.61607E-61,8.55939E-18,8.31745E-15,3.86823E-08,8.75095E-06,,
1614.479631,5.07339E-61,9.36694E-18,9.23036E-15,4.12204E-08,8.81674E-06,,
1614.580012,7.11484E-61,1.02492E-17,1.0241E-14,4.39124E-08,8.87984E-06,,
1614.680393,9.97327E-61,1.1213E-17,1.13596E-14,4.67669E-08,8.94019E-06,,
1614.780775,1.39738E-60,1.22656E-17,1.25974E-14,4.97926E-08,8.99771E-06,,
1614.881156,1.95703E-60,1.34152E-17,1.39666E-14,5.29989E-08,9.05236E-06,,
1614.981538,2.73959E-60,1.46704E-17,1.5481E-14,5.63955E-08,9.10407E-06,,
1615.081919,3.83335E-60,1.60408E-17,1.71555E-14,5.99926E-08,9.1528E-06,,
1615.1823,5.36138E-60,1.75367E-17,1.90066E-14,6.38008E-08,9.19848E-06,,
1615.282682,7.49515E-60,1.91693E-17,2.10523E-14,6.78313E-08,9.24108E-06,,
1615.383063,1.04734E-59,2.09509E-17,2.33127E-14,7.20958E-08,9.28054E-06,,
1615.483444,1.46286E-59,2.28949E-17,2.58096E-14,7.66064E-08,9.31683E-06,,
1615.583826,2.04231E-59,2.50157E-17,2.8567E-14,8.13759E-08,9.34991E-06,,
1615.684207,2.85001E-59,2.7329E-17,3.16115E-14,8.64176E-08,9.37974E-06,,
1615.784589,3.97536E-59,2.98519E-17,3.49721E-14,9.17454E-08,9.40628E-06,,
1615.88497,5.54258E-59,3.26032E-17,3.86806E-14,9.73737E-08,9.42952E-06,,
1615.985351,7.72417E-59,3.56029E-17,4.27722E-14,1.03318E-07,9.44943E-06,,
1616.055,9.72182E-59,3.78417E-17,4.58563E-14,1.07636E-07,9.46127E-06,,
1616.085733,1.07596E-58,3.88731E-17,4.72852E-14,1.09593E-07,9.46598E-06,,
1616.186114,1.49812E-58,4.24375E-17,5.22619E-14,1.16216E-07,9.47916E-06,,
1616.286495,2.08499E-58,4.63223E-17,5.77486E-14,1.23205E-07,9.48895E-06,,
1616.386877,2.90045E-58,5.05554E-17,6.3796E-14,1.30576E-07,9.49534E-06,,
1616.487258,4.03303E-58,5.51674E-17,7.04598E-14,1.38348E-07,9.49833E-06,,
1616.58764,5.60535E-58,6.01917E-17,7.7801E-14,1.46541E-07,9.49792E-06,,
1616.688021,7.78717E-58,6.56641E-17,8.58866E-14,1.55175E-07,9.49409E-06,,
1616.788402,1.08134E-57,7.16238E-17,9.47897E-14,1.6427E-07,9.48687E-06,,
1616.888784,1.50089E-57,7.81134E-17,1.04591E-13,1.73849E-07,9.47625E-06,,
1616.989165,2.08229E-57,8.51787E-17,1.15377E-13,1.83933E-07,9.46224E-06,,
1617.089547,2.88761E-57,9.28699E-17,1.27246E-13,1.94547E-07,9.44487E-06,,
1617.189928,4.0026E-57,1.01241E-16,1.40302E-13,2.05714E-07,9.42414E-06,,
1617.290309,5.54562E-57,1.10351E-16,1.54661E-13,2.1746E-07,9.40009E-06,,
1617.390691,7.68003E-57,1.20264E-16,1.70448E-13,2.29811E-07,9.37274E-06,,
1617.491072,1.06312E-56,1.31048E-16,1.87802E-13,2.42793E-07,9.34212E-06,,
1617.591453,1.47098E-56,1.42779E-16,2.06873E-13,2.56436E-07,9.30825E-06,,
1617.691835,2.03439E-56,1.55538E-16,2.27826E-13,2.70767E-07,9.27118E-06,,
1617.792216,2.81235E-56,1.69413E-16,2.50842E-13,2.85818E-07,9.23095E-06,,
1617.892598,3.88605E-56,1.84499E-16,2.76116E-13,3.01618E-07,9.18759E-06,,
1617.984,5.21454E-56,1.99377E-16,3.01275E-13,3.16685E-07,9.14544E-06,,
1617.992979,5.36727E-56,2.009E-16,3.03864E-13,3.18201E-07,9.14116E-06,,
1618.09336,7.40974E-56,2.18728E-16,3.3432E-13,3.35599E-07,9.0917E-06,,
1618.193742,1.02249E-55,2.38104E-16,3.67741E-13,3.53848E-07,9.03926E-06,,
1618.294123,1.41032E-55,2.59159E-16,4.04406E-13,3.72981E-07,8.98391E-06,,
1618.394505,1.94439E-55,2.82036E-16,4.4462E-13,3.93037E-07,8.92568E-06,,
1618.494886,2.67951E-55,3.06889E-16,4.88717E-13,4.14052E-07,8.86466E-06,,
1618.595267,3.69089E-55,3.33884E-16,5.37057E-13,4.36066E-07,8.80089E-06,,
1618.695649,5.08174E-55,3.63201E-16,5.90038E-13,4.59119E-07,8.73445E-06,,
1618.79603,6.99357E-55,3.95037E-16,6.48091E-13,4.83253E-07,8.6654E-06,,
1618.896411,9.62035E-55,4.29602E-16,7.11684E-13,5.08508E-07,8.59382E-06,,
1618.996793,1.32278E-54,4.67124E-16,7.81331E-13,5.34931E-07,8.51976E-06,,
1619.097174,1.81798E-54,5.07851E-16,8.57587E-13,5.62565E-07,8.44332E-06,,
1619.197556,2.49745E-54,5.52051E-16,9.41061E-13,5.91458E-07,8.36456E-06,,
1619.297937,3.42934E-54,6.00012E-16,1.03241E-12,6.21656E-07,8.28356E-06,,
1619.398318,4.70683E-54,6.52046E-16,1.13236E-12,6.53208E-07,8.2004E-06,,
1619.4987,6.45731E-54,7.08492E-16,1.24169E-12,6.86166E-07,8.11517E-06,,
