,location,protein,mean_conc,sd2,,,,,,,,,,,,,,,,,,,,,total,,,,NIRS Crude Protein,,,,
50,Zinsenhof,albumins,1.96,0.12,,1.96 ± 0.12,,globulins,1.36,0.04,1.36 ± 0.04,,,gliadins,4.79,0.55,4.79 ± 0.55,,,glutenins,3.1,0.41,3.1 ± 0.41,,11.21,0.7,11.21 ± 0.7,,10.7,,,,
51,Zinsenhof,albumins,2.48,0.07,,2.48 ± 0.07,,globulins,1.84,0.08,1.84 ± 0.08,,,gliadins,5.03,0.04,5.03 ± 0.04,,,glutenins,2.67,0.07,2.67 ± 0.07,,12.02,0.13,12.02 ± 0.13,,10.1,,,,
52,Zinsenhof,albumins,2.42,0.14,,2.42 ± 0.14,,globulins,1.68,0.15,1.68 ± 0.15,,,gliadins,5.32,0.31,5.32 ± 0.31,,,glutenins,2.96,0.29,2.96 ± 0.29,,12.38,0.47,12.38 ± 0.47,,11.2,,,,
53,Zinsenhof,albumins,2.2,0.03,,2.2 ± 0.03,,globulins,1.14,0.01,1.14 ± 0.01,,,gliadins,4.88,0.51,4.88 ± 0.51,,,glutenins,2.88,0.18,2.88 ± 0.18,,11.1,0.54,11.1 ± 0.54,,10.8,,,,
54,Zinsenhof,albumins,2.18,0.17,,2.18 ± 0.17,,globulins,1.1,0.03,1.1 ± 0.03,,,gliadins,5.33,0.03,5.33 ± 0.03,,,glutenins,3.1,0.31,3.1 ± 0.31,,11.71,0.36,11.71 ± 0.36,,12,,,,
55,Zinsenhof,albumins,2.64,0.06,,2.64 ± 0.06,,globulins,1.75,0.02,1.75 ± 0.02,,,gliadins,5.68,0.37,5.68 ± 0.37,,,glutenins,1.92,0.07,1.92 ± 0.07,,11.99,0.38,11.99 ± 0.38,,11.8,,,,
56,Zinsenhof,albumins,2.23,0.04,,2.23 ± 0.04,,globulins,1.48,0.04,1.48 ± 0.04,,,gliadins,4.37,0.01,4.37 ± 0.01,,,glutenins,2.98,0.49,2.98 ± 0.49,,11.06,0.49,11.06 ± 0.49,,10.3,,,,
57,Zinsenhof,albumins,2.01,0.16,,2.01 ± 0.16,,globulins,1.2,0.01,1.2 ± 0.01,,,gliadins,4.77,0.55,4.77 ± 0.55,,,glutenins,2.02,0.15,2.02 ± 0.15,,10,0.59,10 ± 0.59,,10.3,,,,
58,Zinsenhof,albumins,3.09,0.24,,3.09 ± 0.24,,globulins,1.91,0.08,1.91 ± 0.08,,,gliadins,5.14,0.14,5.14 ± 0.14,,,glutenins,2.76,0.31,2.76 ± 0.31,,12.9,0.42,12.9 ± 0.42,,11.1,,,,
59,Zinsenhof,albumins,2.63,0.31,,2.63 ± 0.31,,globulins,1.58,0.05,1.58 ± 0.05,,,gliadins,5.19,0.16,5.19 ± 0.16,,,glutenins,2.51,0.47,2.51 ± 0.47,,11.91,0.59,11.91 ± 0.59,,11.4,,,,
60,Zinsenhof,albumins,2.92,0.16,,2.92 ± 0.16,,globulins,1.37,0.02,1.37 ± 0.02,,,gliadins,5.51,0.47,5.51 ± 0.47,,,glutenins,2.84,0.22,2.84 ± 0.22,,12.64,0.54,12.64 ± 0.54,,10.6,,,,
61,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Bad Wimsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
